filename,line_count,itid_min,itid_max,itid_macro_avg,itid_micro_avg
..\Data\Models\TensorFlow\CV\Inception.py,493,0.04979253112033194,1.0,0.7843210438754851,0.7455571414705504
..\Data\Models\TensorFlow\CV\ResNet.py,339,0.26101694915254237,0.9417746759720834,0.6596328278456892,0.7256383392196291
..\Data\Models\TensorFlow\CV\VGG.py,261,0.3426724137931034,0.9813218390804597,0.7254682368637109,0.7120959051724138
..\Data\Models\TensorFlow\NLP\BERT\bert_model.py,722,0.18068823831535694,0.9500770416024654,0.7547892025952525,0.7928293479503735
..\Data\Models\TensorFlow\NLP\GNMT\attention_wrapper.py,856,0.19497455470737915,0.9325699745547074,0.7489325869467025,0.7785518352718137
..\Data\Models\TensorFlow\NLP\GNMT\block_lstm.py,240,0.27956989247311836,0.9838709677419356,0.7689510310478054,0.7319600544932615
..\Data\Models\TensorFlow\NLP\GNMT\estimator.py,644,0.2128345269506219,0.9894459102902375,0.7624529252088432,0.7568863908827252
..\Data\Models\TensorFlow\NLP\GNMT\gnmt_model.py,544,0.3154896540169222,0.7956437965988105,0.5849794446382786,0.5900050984116044
..\Data\Models\TensorFlow\NLP\GNMT\model.py,476,0.23424003322259135,0.9226328903654484,0.7073602436999448,0.7438711252476047
..\Data\Models\TensorFlow\NLP\GNMT\model_helper.py,374,0.35846867167919805,0.9563636363636363,0.788103960962771,0.8101681698465816
..\Data\Models\TensorFlow\SR\DeepSpeech2\decoder.py,56,0.2765957446808511,1.0,0.744984802431611,0.7606382978723404
..\Data\Models\TensorFlow\SR\DeepSpeech2\deep_speech.py,301,0.24028268551236745,0.98390263054574,0.73548800572873,0.7523092492406235
..\Data\Models\TensorFlow\SR\DeepSpeech2\deep_speech_model.py,121,0.32380952380952377,0.838095238095238,0.6718672438672437,0.6932664995822889
..\Data\Models\TensorFlow\SR\tacotron2\Architecture_wrappers.py,161,0.3683584456780333,0.9793814432989689,0.7969453667312509,0.7970089171777479
..\Data\Models\TensorFlow\SR\tacotron2\attention.py,169,0.3983333333333333,1.0,0.8025537918871252,0.7849494949494951
..\Data\Models\TensorFlow\SR\tacotron2\custom_decoder.py,104,0.5555555555555557,0.9615912208504801,0.8422496570644719,0.8553123830901609
..\Data\Models\TensorFlow\SR\tacotron2\helpers.py,103,0.9114754098360656,0.9016393442622951,0.8795081967213114,0.8524590163934426
..\Data\Models\TensorFlow\SR\tacotron2\modules.py,346,0.34239130434782605,0.9565217391304348,0.7423711755233494,0.7363165346230026
..\Data\Models\TensorFlow\SR\tacotron2\tacotron.py,312,0.05685618729096989,0.9933110367892977,0.8718945120282912,0.8387013384328335
..\Data\Models\TensorFlow\SR\tacotron2\__init__.py,6,0.0,1.0,0.5,0.5
